2020	2020 BULKERS
5PG	5TH PLANET GAMES
AASB	AASEN SPAREBANK
ABG	ABG SUNDAL COLLIER
ADE	ADEVINTA
ADS	ADS MARITIME HOLD
AEGA	AEGA
AFG	AF GRUPPEN
AGLX	AGILYX
AIRX	AIRTHINGS
AKAST	AKASTOR
AKER	AKER
AKBM	AKER BIOMARINE
AKRBP	AKER BP
ACC	AKER CARBON CAPTUR
ACH	AKER CLEAN HYDROGE
AKH	AKER HORIZONS
AOW	AKER OFFSHORE WIND
AKSO	AKER SOLUTIONS
AKOBO	AKOBO MINERALS
AKVA	AKVA GROUP
ALT	ALTERNUS ENERGY GR
AMSC	AMERICAN SHIPPING
ANDF	ANDFJORD SALMON
ABT	AQUA BIO TECHNO
AQUA	AQUALISBRAEMAR LOC
ARCH	ARCHER
ABS	ARCTIC BIOSCIENCE
AFISH	ARCTIC FISH HOLDIN
AZT	ARCTICZYMES TECHNO
ARCUS	ARCUS
AFK	ARENDALS FOSSEKOMP
ARGEO	ARGEO
ARR	ARRIBATEC GROUP
ASTK	ASETEK
ATEA	ATEA
ASA	ATLANTIC SAPPHIRE
AURG	AURSKOG SPAREBANK
AUSS	AUSTEVOLL SEAFOOD
AGAS	AVANCE GAS HOLDING
AWDR	AWILCO DRILLING
ALNG	AWILCO LNG
ACR	AXACTOR
AXXIS	AXXIS GEO SOLUTION
AYFIE	AYFIE GROUP
B2H	B2HOLDING
BAKKA	BAKKAFROST
BALT	BALTIC SEA PROP
BANO	BANK NORWEGIAN
BELCO	BELSHIPS
BCS	BERGEN CARBON SOL
BGBIO	BERGENBIO
BEWI	BEWI
BSP	BLACK SEA PROPERTY
BONHR	BONHEUR
BOR	BORGESTAD
BORR	BORR DRILLING
BRG	BORREGAARD
BOUV	BOUVET
BRA	BRABANK
BWE	BW ENERGY LIMITED
BWEK	BW Epic Kosan
BWIDL	BW IDEOL
BWLPG	BW LPG
BWO	BW OFFSHORE LTD
BMA	BYGGMA
CADLR	CADELER
CAMBI	CAMBI
CARA	CARASENT
CIRCA	CIRCA GROUP
CSS	CLEAN SEAS SEAFOOD
CLOUD	CLOUDBERRY CLEAN
CONTX	CONTEXTVISION
CRAYN	CRAYON GROUP HOLD
CSAM	CSAM HEALTH GROUP
CYVIZ	CYVIZ
DVD	DEEP VALUE DRILLER
DSRT	DESERT CONTROL
DLTX	DLT
DNB	DNB BANK
DNO	DNO
DOF	DOF
EAM	EAM SOLAR
ECIT	ECIT AS B-AKSJER
ECO	ECOONLINE HOLDING
EIOF	EIDESVIK OFFSHORE
EMGS	ELECTROMAGNET GEO
ELIMP	ELEKTROIMPORTØREN
ELK	ELKEM
ELABS	ELLIPTIC LABORATOR
ELOP	ELOP
ELO	ELOPAK
ENDUR	ENDÚR
ENSU	ENSURGE MICROPOWER
ENTRA	ENTRA
ENVIP	ENVIPCO HOLDING
EQNR	EQUINOR
EPR	EUROPRIS
EFUEL	EVERFUEL
EXTX	EXACT THERAPEUTICS
FJORD	FJORD1
FKRFT	FJORDKRAFT HOLDING
FLNG	FLEX LNG
FLYR	FLYR
FRO	FRONTLINE
FROY	FRØY
GIG	GAMING INNOVATION
RISH	GC RIEBER SHIPPING
GENT	GENTIAN DIAGNOSTIC
GIGA	GIGANTE SALMON
GJF	GJENSIDIGE FORSIKR
GNP	GNP ENERGY
GEOS	GOLDEN ENERGY OFF
GOGL	GOLDEN OCEAN GROUP
GOD	GOODTECH
GEM	GREEN MINERALS
GSF	GRIEG SEAFOOD
GRONG	GRONG SPAREBANK
GYL	GYLDENDAL
HAFNI	HAFNIA LIMITED
HMONY	HARMONYCHAIN
HAV	HAV GROUP
HAVI	HAVILA SHIPPING
HYARD	HAVYARD GROUP
HEX	HEXAGON COMPOSITES
HPUR	HEXAGON PURUS
HBC	HOFSETH BIOCARE
HRGI	HORISONT ENERGI
HOC	HOUSE OF CONTROL
HUDL	HUDDLESTOCK FINTEC
HDLY	HUDDLY
HUNT	HUNTER GROUP
HYPRO	HYDROGENPRO
HYN	HYNION
HSPG	HØLAND OG SETSKOG
IFISH	ICE FISH FARM
ICEGR	ICE GROUP
ISLAX	ICELANDIC SALMON
IDEX	IDEX BIOMETRICS
INDCT	INDUCT
INSR	INSR INSURANCE GP
INSTA	INSTABANK
IWS	INTEGRATED WIND SO
IOX	INTEROIL EXPL PROD
ITERA	ITERA
JIN	JINHUI SHIPP TRANS
JAREN	JÆREN SPAREBANK
KAHOT	KAHOOT!
KAL	KALERA
KID	KID
KIT	KITRON
KCC	KLAVENESS COMBINAT
KMCP	KMC PROPERTIES
KOMPL	KOMPLETT
KOMP	KOMPLETT BANK
KOA	KONGSBERG AUTOMOT
KOG	KONGSBERG GRUPPEN
KRAB	KRAFT BANK
KYOTO	KYOTO GROUP
LSG	LERØY SEAFOOD GP
LIFE	LIFECARE
LSTSB	LILLESTRØM SPAREB
LINK	LINK MOBILITY GRP
LYTIX	LYTIX BIOPHARMA
MVW	M VEST WATER
MGN	MAGNORA
MSEIS	MAGSEIS FAIRFIELD
MAS	MÅSØVAL
MEDI	MEDISTIM
MELG	MELHUS SPAREBANK
MWTR	MELTWATER
MRCEL	MERCELL HOLDING
MNTR	MINTRA HOLDING
MOWI	MOWI
MPCC	MPC CONTAINER SHIP
MPCES	MPC ENERGY SOLUTIO
MULTI	MULTICONSULT
NAPA	NAPATECH
NAVA	NAVAMEDIC
NKR	NEKKAR
NEL	NEL
NOC	NETOIL CAPITAL
NEXT	NEXT BIOMETRICS GP
NISB	NIDAROS SPAREBANK
NORBT	NORBIT
NCOD	NORCOD
NORDH	NORDHEALTH A-AKSJE
NOAP	NORDIC AQUA PART
NOHAL	NORDIC HALIBUT
NOM	NORDIC MINING
NANOV	NORDIC NANOVECTOR
NOD	NORDIC SEMICONDUC
NUMND	NORDIC UNMANNED
NORSE	NORSE ATLANTIC
NHY	NORSK HYDRO
NSOL	NORSK SOLAR
NTI	NORSK TITANIUM
NSKOG	NORSKE SKOG
NTEL	NORTEL
NORTH	NORTH ENERGY
NODL	NORTHERN DRILLING
NOL	NORTHERN OCEAN LTD
NRS	NORWAY ROYALSALMON
NAS	NORWEGIAN AIR SHUT
NOR	NORWEGIAN ENERGY
NPRO	NORWEGIAN PROPERTY
NRC	NRC GROUP
NTS	NTS
OBSRV	OBSERVE MEDICAL
OSUN	OCEAN SUN
OCY	OCEAN YIELD
OTS	OCEANTEAM
ODL	ODFJELL DRILLING
ODF	ODFJELL SER. A
ODFB	ODFJELL SER. B
OHT	OHT
OKEA	OKEA
OET	OKEANIS ECO TANKER
OLT	OLAV THON EIENDOMS
ORK	ORKLA
OTEC	OTELLO CORPORATION
OTOVO	OTOVO
PEN	PANORO ENERGY
PARB	PARETO BANK
PSKY	PATIENTSKY GROUP
PCIB	PCI BIOTECH HOLD
PSE	PETROLIA
PNOR	PETRONOR E&P LTD
PEXIP	PEXIP HOLDING
PGS	PGS
PHLY	PHILLY SHIPYARD
PHO	PHOTOCURE
PPG	PIONEER PROPERTY
PMG	PLAY MAGNUS
POL	POLARIS MEDIA
PLT	POLIGHT
PRS	PROSAFE
PROT	PROTECTOR FORSIKRG
PROXI	PROXIMAR SEAFOOD
PRYME	PRYME
QFR	Q-FREE
QFUEL	QUANTAFUEL
QEC	QUESTERRE ENERGY
R8P	R8 PROPERTY
RAKP	RAK PETROLEUM
RANA	RANA GRUBER
REACH	REACH SUBSEA
RECSI	REC SILICON
RIVER	RIVER TECH
ROM	ROMREAL
ROMSB	ROMSDAL SPAREBANK
SAGA	SAGA PURE
SALM	SALMAR
SALME	SALMON EVOLUTION
SACAM	SALMONES CAMANCH
SADG	SANDNES SPAREBANK
SASNO	SAS AB
SATS	SATS
SBANK	SBANKEN
SCANA	SCANA
SCATC	SCATEC
SCHA	SCHIBSTED SER. A
SCHB	SCHIBSTED SER. B
SDSD	SD STAND DRILLING
SBX	SEABIRD EXPLORAT
SDRL	SEADRILL
SSG	SELF STORAGE GROUP
SBO	SELVAAG BOLIG
SHLF	SHELF DRILLING
SIOFF	SIEM OFFSHORE
SIKRI	SIKRI HOLDING
SKAND	SKANDIA GREENPOWER
SKI	SKITUDE HOLDING
SKUE	SKUE SPAREBANK
